name,categories,class
Aal,"Zutaten,Fischarten,Bedrohte Fischarten",Fisch
Abalone,"Zutaten,Meeresfrüchte-Arten",Fisch
Abbaye d'Orval,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Abbaye de Chimay,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Abbaye de Cîteaux,"Zutaten,Weichkäsesorten,Käse aus Burgund",Veggie
Abbaye de Floreffe,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Abbaye de Maredsous,"Zutaten,Schnittkäsesorten,Belgischer Käse",Veggie
Abbaye de Val Dieu,"Zutaten,Schnittkäsesorten,Belgischer Käse",Veggie
Abbé Fétel,"Zutaten,Birnensorte",Veggie
Absinth,"Zutaten,Bitterliköre",Veggie
ACE-Saft,"Zutaten,Fruchtgetränke",Veggie
Acerola,"Zutaten,Steinobst",Veggie
Acerola-Konfitüre,"Zutaten,Fertigmarmeladen",Veggie
Acerolanektar,"Zutaten,Fruchtgetränke",Veggie
Acerolasaft,"Zutaten,Fruchtgetränke",Veggie
Acerolasirup,Zutaten,Veggie
Aceto Balsamico,"Zutaten,Aromazutaten",Veggie
Acini di pepe,"Zutaten,Nudelsorten",Veggie
Ackerbohne,"Zutaten,Bohnensorten",Veggie
Ackererbse,"Zutaten,Erbsensorten",Veggie
Ackerpille,"Zutaten,Kohlsorten",Veggie
Adretta,"Zutaten,Mehligkochend",Veggie
Adzuki-Bohne,"Zutaten,Bohnensorten",Veggie
Affligem Abdijkaas,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Afra,"Zutaten,Mehligkochend",Veggie
Agar-Agar,"Zutaten,Lebensmittelzusatzstoff",Veggie
Agavendicksaft,"Zutaten,Süßungsmittel",Veggie
Agnolotti,"Zutaten,Nudelsorten",Veggie
Agrì di Valtorta,"Zutaten,Lombardischer Käse,Schnittkäsesorten,Frischkäsesorten",Veggie
Agria,"Zutaten,Mehligkochend",Veggie
Ahornsirup,"Zutaten,Süßungsmittel",Veggie
Aisy cendré,"Zutaten,Käse aus Burgund",Veggie
Ají amarillo,"Zutaten,Chilisorten",Veggie
Ajvar,Zutaten,Veggie
Alblinse,"Zutaten,Linsensorten",Veggie
Alchermes,Zutaten,Veggie
Alexander Lucas,"Zutaten,Birnensorte",Veggie
Algunder Bauernkäse,"Zutaten,Südtiroler Käse",Veggie
Algunder Butterkäse,"Zutaten,Südtiroler Käse",Veggie
Algunder Ziegenkäse,"Zutaten,Südtiroler Käse",Veggie
Alkohol,Zutaten,Veggie
Alkoholfreier Blue Curaçao,"Zutaten,Alkoholfreie Getränke",Veggie
Allgäuer Bergkäse,"Zutaten,Deutscher Käse,Schnittkäsesorten",Veggie
